Brand,Model,Generation,Processor,RAM,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remis-a-neuf-62974159.html,5000.0,2999.0,40%,2025-01-31 00:40:11
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/pc-portable-hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remise-a-neuf-hp-mpg1439488.html,6599.0,2959.0,55%,2025-01-31 00:40:11
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remis-a-neuf-63961160.html,4599.0,2975.0,35%,2025-01-31 00:40:11
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,16GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-core-i5-8eme-gen-16go-ram-256-go-ssd-remis-a-neuf-62072221.html,4100.0,3299.0,20%,2025-01-31 00:40:15
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-clavier-qwerty-remis-a-neuf-64228646.html,3500.0,2899.0,17%,2025-01-31 00:40:18
Hp,EliteBook 820 G,6th Gen,Core i5,16GB,512GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-820-g3-core-i5-6eme-gen-16go-ram-ddr4-512go-ssd-qwerty-gris-remis-a-neuf-55583346.html,6200.0,3599.0,42%,2025-01-31 00:40:27
Lenovo,570,6th Gen,Core i5,8GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/lenovo-thinkpad-l570-intel-core-i5-6eme-gen-8go-ram-256go-ssd-15.6-azerty-remis-a-neuf-65172191.html,3799.0,3199.0,16%,2025-01-31 00:40:31
Hp,840 G,10th Gen,Core i5,16GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitbook-840-g7-core-i5-10210u-10eme-gen-16go-ram-256go-ssd-qwerty-14-fhd-gris-remis-a-neuf-65682874.html,4999.0,4199.0,16%,2025-01-31 00:40:31
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,16GB,512 GB SSD,Jumia,PC Portables,https://www.jumia.ma/pc-portable-elitebook-840-g5-8eme-gen-core-i5-16-go-512-go-ssd-azerty-remise-a-neuf-hp-mpg1470604.html,4999.0,3475.0,30%,2025-01-31 00:40:57
Lenovo,14 Gen,14th Gen,Core i5,16GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/lenovo-thinkpad-thinkpad-t14-gen-1-core-i5-10310u-16go-ram-256go-ssd-14-qwerty-noir-remis-a-neuf-65955979.html,4399.0,3999.0,9%,2025-01-31 00:40:57
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,32GB,512 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-32-go-512-go-ssd-azerty-remise-a-neuf-65647311.html,4999.0,3899.0,22%,2025-01-31 00:41:03
DELL,5490,8th Gen,Core i5,8GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/dell-latitude-5490-intel-core-i5-8eme-gen-8go-ddr4-256go-ssd-14-qwerty-remis-a-neuf-65242075.html,3190.0,2699.0,15%,2025-01-31 00:41:08
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remise-a-neuf-65647625.html,4399.0,4275.0,3%,2025-01-31 00:41:08
