Brand,Model,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
XIAOMI,Redmi A3X,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-a3x-6.7-4-go-ram-128-go-rom-midnight-noir-65704865.html,1769.0,1179.0,33%,2025-01-31 00:40:44
XIAOMI,Redmi 13,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-13-679-8gb-128gb-pearl-pink-65704792.html,2878.4,1799.0,38%,2025-01-31 00:40:44
XIAOMI,Redmi 14C,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-14c-6.88-128gb-4gb-jusqua-8go-helio-g81-ultra-5160-mah-50-mp-starry-bleu-65760037.html,2025.0,1350.0,33%,2025-01-31 00:40:44
Samsung,Galaxy A05,128GB,Jumia,PC Portables,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-noir-64473018.html,1429.0,1219.0,15%,2025-01-31 00:40:44
Samsung,Galaxy A05,128GB,Jumia,PC Portables,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-silver-64473019.html,1429.0,1219.0,15%,2025-01-31 00:40:44
XIAOMI,Redmi A3X,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-a3x-6.7-4-go-ram-128-go-rom-aurora-green-65704866.html,1769.0,1179.0,33%,2025-01-31 00:40:44
Itel,A50,64GB,Jumia,PC Portables,https://www.jumia.ma/itel-a50-6gb24gb64gb-66-dynamic-display-5000mah-4g-cyan-blue-65604637.html,929.0,860.0,7%,2025-01-31 00:40:44
Samsung,Galaxy A06,128GB,Jumia,PC Portables,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-noir-65721220.html,1899.0,1419.0,25%,2025-01-31 00:40:44
XIAOMI,REDMI 14C,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-14c-6.88-4gb-128gb-midnight-noir-65704729.html,2025.0,1350.0,33%,2025-01-31 00:40:44
Samsung,Galaxy A05,128GB,Jumia,PC Portables,https://www.jumia.ma/samsung-galaxy-a05-6.7-4gb-128gb-vert-clair-64473020.html,1429.0,1219.0,15%,2025-01-31 00:40:44
Itel,A50,32GB,Jumia,PC Portables,https://www.jumia.ma/itel-a50c-66-32-go-2-go-ram-2-2-go-dawn-blue-65437566.html,999.0,790.0,21%,2025-01-31 00:40:44
XIAOMI,Redmi A3X,64GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-a3x-6.7-3gb-64gb-midnight-noir-65704799.html,1544.0,1029.0,33%,2025-01-31 00:40:44
XIAOMI,REDMI NOTE,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-note-13-6.67-6gb128gb-midnight-black-64641489.html,3198.4,1999.0,38%,2025-01-31 00:40:44
Itel,A50,64GB,Jumia,PC Portables,https://www.jumia.ma/itel-a50-66-64-go-6-go-ram-misty-black-65321905.html,929.0,860.0,7%,2025-01-31 00:40:44
XIAOMI,Redmi A3X,64GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-a3x-6.7-3-go-ram-64-go-rom-aurora-green-65704800.html,1544.0,1029.0,33%,2025-01-31 00:40:44
Samsung,Galaxy A05s,128GB,Jumia,PC Portables,https://www.jumia.ma/samsung-galaxy-a05s-67-4gb128gb-noir-64720014.html,1704.0,1329.0,22%,2025-01-31 00:40:44
XIAOMI,REDMI 14C,256GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-14c-6.88-8gb-256gb-midnight-noir-65704735.html,2594.0,1729.0,33%,2025-01-31 00:40:44
XIAOMI,Redmi 14C,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-14c-6.88-4-go-ram-128-go-rom-helio-g81-ultra-starry-bleu-65760012.html,2025.0,1350.0,33%,2025-01-31 00:40:44
XIAOMI,Redmi A3X,128GB,Jumia,PC Portables,https://www.jumia.ma/xiaomi-redmi-a3x-6.7-4-go-ram-128-go-rom-moonlight-blanc-65704867.html,1769.0,1179.0,33%,2025-01-31 00:40:44
