Brand,Model,Generation,Processor,RAM,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remis-a-neuf-62974159.html,5000.0,2999.0,40%,2025-01-28 13:18:28
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/pc-portable-hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remise-a-neuf-hp-mpg1439488.html,6599.0,2959.0,55%,2025-01-28 13:18:28
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remis-a-neuf-63961160.html,4599.0,2975.0,35%,2025-01-28 13:18:28
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,16GB,512 GB SSD,Jumia,PC Portables,https://www.jumia.ma/elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-souris-et-cartable-gratuit-remise-a-neuf-hp-mpg1413182.html,4199.0,3609.05,14%,2025-01-28 13:18:28
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,16GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-core-i5-8eme-gen-16go-ram-256-go-ssd-remis-a-neuf-62072221.html,4100.0,3299.0,20%,2025-01-28 13:18:32
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-clavier-qwerty-remis-a-neuf-64228646.html,3500.0,2899.0,17%,2025-01-28 13:18:38
Hp,EliteBook 820 G,6th Gen,Core i5,16GB,512GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-820-g3-core-i5-6eme-gen-16go-ram-ddr4-512go-ssd-qwerty-gris-remis-a-neuf-55583346.html,6200.0,3599.0,42%,2025-01-28 13:18:38
Hp,840 G,6th Gen,CORE i7,8GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/ultraportable-hp-840-g3-6eme-gen-core-i7-8go-256go-ssd-souris-cadeau-remis-a-neuf-hp-mpg1413107.html,6999.0,4084.05,42%,2025-01-28 13:18:38
Hp,840 G,10th Gen,Core i5,16GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitbook-840-g7-core-i5-10210u-10eme-gen-16go-ram-256go-ssd-qwerty-14-fhd-gris-remis-a-neuf-65682874.html,4999.0,N/A,Aucune,2025-01-28 13:18:40
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,512 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-8go-512-go-ssd-remis-a-neuf-62959624.html?seller_product=1,4399.0,3199.0,27%,2025-01-28 13:18:44
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,8GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remis-a-neuf-62941600.html?seller_product=1,4199.0,2999.0,29%,2025-01-28 13:18:47
