Brand,Model,Generation,Processor,RAM,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
Asus,415Ep,41th Gen,I7-1165G7,8GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/asus-laptop-x415ep-ek373w-i7-1165g7-14-fhd-8go-512go-ssd-w11h-gris-aaaag68635,9200.0,7888.0,-14%,2025-01-31 00:55:29
Hp,15 I,15th Gen,I5-1235U,8GB,256GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-15-i5-1235u-15-6-fhd-8go-256go-ssd-cg-2gb-win11h-chalkboad-gray-12m-aaaaf70371,8800.0,7290.0,-17%,2025-01-31 00:55:29
Hp,15 I,15th Gen,I7-1355U,8GB,512 GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/hp-15-i7-1355u-15-6-fhd-8-go-512-go-ssd-w11h-natural-silver-12m-aaaai31361,9399.0,7999.0,-14%,2025-01-31 00:55:29
Asus,1 B,1th Gen,I7-1165G7,8GB,128GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/asus-expertbook-pc-portable-b1-b1500-i7-1165g7-8gb-1to-128go-ssd-aaaan17184,6928.0,N/A,Aucune,2025-01-31 00:55:29
,3 Sf,3th Gen,I5-1135G7,16GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/pc-portable-acer-swift-3-sf314-59-54xf-14-fhd-core-i5-1135g7-ram-16go-stockage-512go-ssd-windows-10-azerty-nxa0mef00m,10650.0,N/A,Aucune,2025-01-31 00:55:42
Asus,712E,71th Gen,I7-1165G7,16GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/asus-x712e-i7-1165g7-17-3-fhd-ips-16go-512go-ssd-aaaba35492,9299.0,N/A,Aucune,2025-01-31 00:55:42
,2 Intel,2th Gen,I7-1255U,512GB,512 Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/ordinateur-portable-samsung-galaxy-book-2-intel-core-i7-1255u-512-gb-ssd-15-6-16-gb-lpddr4-sam8806094620825,11800.0,N/A,Aucune,2025-01-31 00:55:42
,15,15th Gen,I5-11300H,16GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/pc-portable-gamer-asus-tuf-dash-f15-win-11-15-6-fhd-144hz-rtx-3060-intel-core-i5-11300h-ram-16go-512go-ssd-tuf516pmhn951w,15000.0,N/A,Aucune,2025-01-31 00:55:42
Dell,5540,55th Gen,I5-1335U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/dell-latitude-5540-i5-1335u-8gb-512gb-ssd-15-6-fhd-intel-iris-xe-backlit-kb-windows-11pro-3yr-aaaae72009,14490.0,N/A,Aucune,2025-01-31 00:55:42
,3550 Cs,35th Gen,I5-1335U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/spl-dell-latitude-3550-cs-i5-1335u-8-gb-512gb-ssd-15-6-fhd-non-touch-ir-camera-integrated-65w-wlan-backlit-kb-win11pro-1-del1716340627528,10971.0,N/A,Aucune,2025-01-31 00:55:49
Hp,Pavilion 15,15th Gen,I5-1335U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-pavilion-15-eg3004nk-i5-1335u-8gb-512gb-ssd-15-6p-fhd-aaalq87150,9900.0,8990.0,-9%,2025-01-31 00:55:56
Hp,360,36th Gen,I7-1255U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-pavilion-x360-2-in-1-15-er1002nk-i7-1255u-8gb-512gb-ssd-15-6-touch-fhd-aaalq82727,11890.0,N/A,Aucune,2025-01-31 00:55:56
Hp,4,4th Gen,I7-1355U,16GB,512 GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-elite-dragonfly-g4-i7-1355u-13-5-touch-16-go-512-go-ssd-aaalq82724,26389.0,N/A,Aucune,2025-01-31 00:55:56
Hp,450 G,45th Gen,I5-1335U,8GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-450-g10-probook-i5-1335u-8go-512go-ssd-15-6-fhd-freedos-24m-aaalq82718,8995.0,N/A,Aucune,2025-01-31 00:55:56
Lenovo,50T,50th Gen,I3-12100,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/lenovo-neo-50t-g3-thinkcentre-i3-12100-8gb-ddr4-3200-512gb-ssd-dvd-rw-24-mois-aaalq82714,4145.0,N/A,Aucune,2025-01-31 00:55:56
Hp,290 G,29th Gen,I5-12500,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-290-g9-mt-i5-12500-8gb-512gb-ssd-dvd-rw-freedos-hp-p22v-g5-1an-aaalq82694,6949.0,N/A,Aucune,2025-01-31 00:55:56
Hp,290 G,29th Gen,I5-12500,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-290-g9-mt-i5-12500-8gb-512gb-ssd-dvd-rw-freedos-hp-p22v-g5-3-ans-aaalq82692,6869.0,N/A,Aucune,2025-01-31 00:56:02
Hp,14,14th Gen,I5-1335U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-14-ep0002nk-i5-1335u-8gb-512gb-ssd-14p-fhd-aaalq82688,7250.0,N/A,Aucune,2025-01-31 00:56:02
Lenovo,15,15th Gen,I7-1255U,8GB,512 GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/lenovo-thinkbook-15-iap-i7-1255u-15-6-fhd-8-go-512-go-ssd-nvidia-mx550-blacktopload-freedos-grey-24m-aaalq50422,12999.0,8990.0,-30%,2025-01-31 00:56:02
Msi,14 A,14th Gen,I7-13620H,16GB,512 GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/msi-cyborg-14-a13vf-039xes-ordinateur-portable-gaming-14-full-hd-intel-core-i7-13620h-16-go-ram-512-go-ssd-nvidia-geforce-rtx-4060-msi1721973632744,16490.0,14990.0,-9%,2025-01-31 00:56:02
Asus,415Ep,41th Gen,I7-1165G7,8GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/asus-laptop-x415ep-ek373w-i7-1165g7-14-fhd-8go-512go-ssd-w11h-gris-aaaag68635,9200.0,7888.0,-14%,2025-02-02 18:35:43
Hp,15 I,15th Gen,I5-1235U,8GB,256GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-15-i5-1235u-15-6-fhd-8go-256go-ssd-cg-2gb-win11h-chalkboad-gray-12m-aaaaf70371,8800.0,7290.0,-17%,2025-02-02 18:35:43
Hp,15 I,15th Gen,I7-1355U,8GB,512 GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/hp-15-i7-1355u-15-6-fhd-8-go-512-go-ssd-w11h-natural-silver-12m-aaaai31361,9399.0,N/A,Aucune,2025-02-02 18:35:43
Asus,1 B,1th Gen,I7-1165G7,8GB,128GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/asus-expertbook-pc-portable-b1-b1500-i7-1165g7-8gb-1to-128go-ssd-aaaan17184,6928.0,N/A,Aucune,2025-02-02 18:35:43
,3 Sf,3th Gen,I5-1135G7,16GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/pc-portable-acer-swift-3-sf314-59-54xf-14-fhd-core-i5-1135g7-ram-16go-stockage-512go-ssd-windows-10-azerty-nxa0mef00m,10650.0,N/A,Aucune,2025-02-02 18:35:52
Asus,712E,71th Gen,I7-1165G7,16GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/asus-x712e-i7-1165g7-17-3-fhd-ips-16go-512go-ssd-aaaba35492,9299.0,N/A,Aucune,2025-02-02 18:35:52
,2 Intel,2th Gen,I7-1255U,512GB,512 Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/informatique-0k/ordinateur-portable-0k0c/ordinateur-portable-samsung-galaxy-book-2-intel-core-i7-1255u-512-gb-ssd-15-6-16-gb-lpddr4-sam8806094620825,11800.0,N/A,Aucune,2025-02-02 18:35:52
,15,15th Gen,I5-11300H,16GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/pc-portable-gamer-asus-tuf-dash-f15-win-11-15-6-fhd-144hz-rtx-3060-intel-core-i5-11300h-ram-16go-512go-ssd-tuf516pmhn951w,15000.0,N/A,Aucune,2025-02-02 18:35:52
Dell,5540,55th Gen,I5-1335U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/dell-latitude-5540-i5-1335u-8gb-512gb-ssd-15-6-fhd-intel-iris-xe-backlit-kb-windows-11pro-3yr-aaaae72009,14490.0,N/A,Aucune,2025-02-02 18:35:52
,3550 Cs,35th Gen,I5-1335U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/spl-dell-latitude-3550-cs-i5-1335u-8-gb-512gb-ssd-15-6-fhd-non-touch-ir-camera-integrated-65w-wlan-backlit-kb-win11pro-1-del1716340627528,10971.0,N/A,Aucune,2025-02-02 18:36:02
Lenovo,50A,50th Gen,I3-1315U,8GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/lenovo-neo-50a-24-g5-thinkcentre-aio-i3-1315u-8go-512go-ssd-23-8-fhd-freedos-24m-aaalr40556,6549.0,N/A,Aucune,2025-02-02 18:36:11
Hp,Pavilion 15,15th Gen,I5-1335U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-pavilion-15-eg3004nk-i5-1335u-8gb-512gb-ssd-15-6p-fhd-aaalq87150,9900.0,8990.0,-9%,2025-02-02 18:36:11
Hp,360,36th Gen,I7-1255U,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-pavilion-x360-2-in-1-15-er1002nk-i7-1255u-8gb-512gb-ssd-15-6-touch-fhd-aaalq82727,11890.0,N/A,Aucune,2025-02-02 18:36:11
Hp,4,4th Gen,I7-1355U,16GB,512 GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-elite-dragonfly-g4-i7-1355u-13-5-touch-16-go-512-go-ssd-aaalq82724,26389.0,N/A,Aucune,2025-02-02 18:36:11
Hp,450 G,45th Gen,I5-1335U,8GB,512GB Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-450-g10-probook-i5-1335u-8go-512go-ssd-15-6-fhd-freedos-24m-aaalq82718,8995.0,N/A,Aucune,2025-02-02 18:36:11
Lenovo,50T,50th Gen,I3-12100,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/lenovo-neo-50t-g3-thinkcentre-i3-12100-8gb-ddr4-3200-512gb-ssd-dvd-rw-24-mois-aaalq82714,4145.0,N/A,Aucune,2025-02-02 18:36:11
Hp,290 G,29th Gen,I5-12500,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-290-g9-mt-i5-12500-8gb-512gb-ssd-dvd-rw-freedos-hp-p22v-g5-1an-aaalq82694,6949.0,N/A,Aucune,2025-02-02 18:36:18
Hp,290 G,29th Gen,I5-12500,8GB,512Gb Ssd,Marjane Mall,PC Portables,https://www.marjanemall.ma/hp-290-g9-mt-i5-12500-8gb-512gb-ssd-dvd-rw-freedos-hp-p22v-g5-3-ans-aaalq82692,6869.0,N/A,Aucune,2025-02-02 18:36:18
