Brand,Model,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
XIAOMI,XIAOMI,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/smartphone-xiaomi-redmi-a3x-6-7-128go-4go-ram-5000mah-noir-xia1724063264963,1170.0,N/A,Aucune,2025-01-31 00:45:57
Samsung,Galaxy A05,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a05-light-green-4-128gb-a-05-aaaah57710,1599.0,1219.0,-23%,2025-01-31 00:45:57
Samsung,Galaxy A05,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a05-silver-4-128gb-a-05-aaaah57711,1599.0,1219.0,-23%,2025-01-31 00:45:57
Samsung,Galaxy A05,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a05-black-4-128gb-a-05-aaaah57709,1599.0,1218.0,-23%,2025-01-31 00:45:57
XIAOMI,XIAOMI,64GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/xiaomi-redmi-a3x-6-7-64-go-3-ram-5000mah-midnight-black-xia1722378703765,1399.0,1029.0,-26%,2025-01-31 00:45:57
XIAOMI,XIAOMI,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/xiaomi-redmi-14c-6-88-128gb-6gb-helio-g81-ultra-5160-mah-50-mp-starry-blue-aaalz57375,1799.0,1549.0,-13%,2025-01-31 00:45:57
Xiaomi,Xiaomi,64GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/xiaomi-redmi-a3x-3-go-64-go-blanc-moonlight-white-double-sim-xia1724063217581,1399.0,1029.0,-26%,2025-01-31 00:45:57
Samsung,Galaxy S23,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-s23-8-256gb-cream-s-23-plus-aaaaa49267,12990.0,8721.0,-32%,2025-01-31 00:45:57
Samsung,xy,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-m53-8-go-256-gb-blue-5g-aaaaa68726,4749.0,3569.0,-24%,2025-01-31 00:45:57
SAMSUNG,Y SAMSUNG,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/smartphone-a35-8-256gb-awesome-navy-samsung-aaabj52016,4990.0,3869.0,-22%,2025-01-31 00:45:57
Samsung,Galaxy S23,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-s23-8-256gb-lavender-s-23-plus-aaaaa49266,12990.0,8721.0,-32%,2025-01-31 00:45:57
Samsung,Galaxy M53,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-m53-8-256gb-green-m-53-aaaaa68727,4749.0,3569.0,-24%,2025-01-31 00:45:57
Samsung,Galaxy M53,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-m53-8-256gb-brown-m-53-aaaaa68728,4749.0,3569.0,-24%,2025-01-31 00:45:57
Samsung,Galaxy A34,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a34-8-128gb-green-a-34-aaaaa63721,3699.0,N/A,Aucune,2025-01-31 00:45:57
Samsung,Galaxy A34,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a34-8-128gb-black-a-34-aaaaa63720,3189.0,N/A,Aucune,2025-01-31 00:45:57
APPLE,iPhone 14,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/apple-iphone-14-pro-128gb-deep-purple-ippro14128purp,16449.0,13979.0,-15%,2025-01-31 00:46:14
APPLE,iPhone 14,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/apple-iphone-14-pro-max-128gb-space-black-ippmax14128noir,18490.0,15790.0,-14%,2025-01-31 00:46:14
iPhone,iPhone 15,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/iphone-15-pro-128gb-natural-titanium-ip15pro128nat,17490.0,15490.0,-11%,2025-01-31 00:46:14
SAMSUNG,Galaxy A14,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a14-4g-noir-128go-sam8806094843439,1890.0,N/A,Aucune,2025-01-31 00:46:14
APPLE,iPhone 14,512GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/apple-iphone-14-512gb-purple-iphone14512purp,17590.0,15890.0,-9%,2025-01-31 00:46:14
Samsung,Galaxy A34,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a34-8-128gb-silver-a-34-aaaaa63719,3499.0,N/A,Aucune,2025-01-31 00:46:14
APPLE,iPhone 14,512GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/apple-iphone-14-plus-512gb-blue-ipplus14512bleu,19590.0,16990.0,-13%,2025-01-31 00:46:14
Honor,X5,32GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x5-bleu-2-32go-aaaaa72982,1299.0,1199.0,-7%,2025-01-31 00:46:14
