Brand,Model,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
Samsung,Galaxy Tab A9,4GB,Marjane Mall,tablette,https://www.marjanemall.ma/samsung-tablette-galaxy-tab-a9-lte-4-go-ram-64-go-graphite-aaaan07192,1990.0,1629.0,-18%,2025-01-31 00:45:57
Apple,Ipad 10,256GB,Marjane Mall,tablette,https://www.marjanemall.ma/apple-ipad-10-2-256-go-gris-sideral-wifi-9-eme-generation-2021-gris-sideral-auc0194252516560,9880.0,8690.0,-12%,2025-01-31 00:46:13
Xiaomi,Redmi Pad Se,128GB,Marjane Mall,tablette,https://www.marjanemall.ma/tablette-xiaomi-redmi-pad-se-4-11-128go-gris-graphite-xia1691193157050,,,Aucune,2025-01-31 00:46:29
Xiaomi,Redmi Pad Se,256GB,Marjane Mall,tablette,https://www.marjanemall.ma/xiaomi-redmi-pad-se-4-11-256go-gris-graphite-padse8256g,4290.0,3790.0,-11%,2025-01-31 00:46:29
Huawei,Medpad T3,16GB,Marjane Mall,tablette,https://www.marjanemall.ma/huawei-medpad-t3-7-7-3g-1-16go-space-grey-hua6901443199730,1199.0,799.0,-33%,2025-01-31 00:46:29
Samsung,Galaxy Tab A9,4GB,Marjane Mall,tablette,https://www.marjanemall.ma/samsung-tablette-galaxy-tab-a9-lte-4-go-ram-64-go-graphite-aaaan07192,1990.0,1629.0,-18%,2025-02-02 18:35:51
Xiaomi,Redmi Pad Se,256GB,Marjane Mall,tablette,https://www.marjanemall.ma/xiaomi-redmi-pad-se-4-11-256go-gris-graphite-padse8256g,4290.0,3790.0,-11%,2025-02-02 18:36:15
Huawei,Medpad T3,16GB,Marjane Mall,tablette,https://www.marjanemall.ma/huawei-medpad-t3-7-7-3g-1-16go-space-grey-hua6901443199730,1199.0,799.0,-33%,2025-02-02 18:36:15
Samsung,Galaxy Tab A9,4GB,Marjane Mall,tablette,https://www.marjanemall.ma/samsung-tablette-galaxy-tab-a9-lte-4-go-ram-64-go-graphite-aaaan07192,,,Aucune,2025-02-05 19:31:51
Xiaomi,Redmi Pad Se,256GB,Marjane Mall,tablette,https://www.marjanemall.ma/xiaomi-redmi-pad-se-4-11-256go-gris-graphite-padse8256g,,,Aucune,2025-02-05 19:32:19
Huawei,Medpad T3,16GB,Marjane Mall,tablette,https://www.marjanemall.ma/huawei-medpad-t3-7-7-3g-1-16go-space-grey-hua6901443199730,,,Aucune,2025-02-05 19:32:19
Samsung,Galaxy Tab A9,4GB,Marjane Mall,tablette,https://www.marjanemall.ma/samsung-tablette-galaxy-tab-a9-lte-4-go-ram-64-go-graphite-aaaan07192,1990.0,1629.0,-18%,2025-02-07 12:29:57
Xiaomi,Redmi Pad Se,256GB,Marjane Mall,tablette,https://www.marjanemall.ma/xiaomi-redmi-pad-se-4-11-256go-gris-graphite-padse8256g,4290.0,3790.0,-11%,2025-02-07 12:30:20
Huawei,Medpad T3,16GB,Marjane Mall,tablette,https://www.marjanemall.ma/huawei-medpad-t3-7-7-3g-1-16go-space-grey-hua6901443199730,1199.0,799.0,-33%,2025-02-07 12:30:20
