Brand,Model,Generation,Processor,RAM,Storage,Marketplace,Category,Link,priceInitial,pricePromo,promotiontype,collectionTime
MSI,13th,13th Gen,Core i7,16GB GB,512GB SSD,Newegg,PC Laptops,https://www.newegg.com/p/2WC-000C-0GXH3,9999.9,7899.9,21%,2025-01-31 00:57:36
Dell,7420,11th Gen,Core i7,32GB GB,256 GB SSD,Newegg,PC Laptops,https://www.newegg.com/dell-7420-14-0-intel-core-i7-1185g7-32gb-intel-iris-xe-graphics-256-gb/p/N82E16834833367,6999.9,3699.9,47%,2025-01-31 00:57:36
Lenovo,15,15th Gen,Ryzen 5,40GB GB,1TB SSD,Newegg,PC Laptops,https://www.newegg.com/p/1TS-000E-1ANB2,6090.0,5290.0,13%,2025-01-31 00:57:36
Lenovo,14,14th Gen,Ryzen 7,24GB GB,1TB SSD,Newegg,PC Laptops,https://www.newegg.com/black-lenovo-thinkpad-e14-gen-5-work-business/p/1TS-000E-19J02,8290.0,7190.0,13%,2025-01-31 00:58:33
HP,EliteBook 840,8th Gen,Core i5,16GB GB,256 GB SSD,Newegg,PC Laptops,https://www.newegg.com/hp-840-g5-14-0-intel-core-i5-8350u-16gb-intel-uhd-graphics-620-256-gb/p/N82E16834273168,2450.0,N/A,Aucune,2025-01-31 00:58:33
MSI,16,13th Gen,Core i7,32GB GB,1 TB SSD,Newegg,PC Laptops,https://www.newegg.com/p/1TS-0016-05C61,0.0,N/A,Aucune,2025-01-31 00:58:33
HP,450,13th Gen,Core i7,16GB GB,512 GB SSD,Newegg,PC Laptops,https://www.newegg.com/p/1TS-000D-1CB99,7799.9,N/A,Aucune,2025-01-31 00:58:52
Lenovo,480s,8th Gen,Core i5,16GB GB,512 GB SSD,Newegg,PC Laptops,https://www.newegg.com/black-lenovo-thinkpad-mainstream/p/1TS-000E-0WX03,2810.1,N/A,Aucune,2025-01-31 00:58:52
HP,650,4th Gen,Core i7,16GB GB,512 GB SSD,Newegg,PC Laptops,https://www.newegg.com/aluminum-black-hp-probook-650-g1-mainstream/p/1TS-000D-04V18,1750.0,N/A,Aucune,2025-01-31 00:58:52
Lenovo,16,16th Gen,Ryzen 5,16GB GB,1TB SSD,Newegg,PC Laptops,https://www.newegg.com/p/1TS-000E-1B2M6,6999.9,6499.9,7%,2025-01-31 00:58:52
Lenovo,480,8th Gen,Core i7,16GB GB,512 GB SSD,Newegg,PC Laptops,https://www.newegg.com/black-lenovo-thinkpad-mainstream/p/1TS-000E-0WW86,3294.5,N/A,Aucune,2025-01-31 00:59:20
ASUS,17,12th Gen,Core i3,36GB GB,1TB SSD,Newegg,PC Laptops,https://www.newegg.com/p/1TS-001A-0B0B7,5890.0,N/A,Aucune,2025-01-31 00:59:20
Lenovo,16,16th Gen,Core i7,32GB GB,1TB SSD,Newegg,PC Laptops,https://www.newegg.com/p/1TS-000E-1B2V6,13999.9,12499.9,10%,2025-01-31 00:59:20
Dell,Inspiron 15,13th Gen,Core i7,32GB GB,1TB SSD,Newegg,PC Laptops,https://www.newegg.com/p/1TS-000A-0Z4J0,7410.0,N/A,Aucune,2025-01-31 00:59:20
DELL,7270,6th Gen,Core i5,16GB GB,256 GB SSD,Newegg,PC Laptops,https://www.newegg.com/black-dell-latitude-e7270-mainstream/p/1TS-000A-0MJH6,4634.9,N/A,Aucune,2025-01-31 00:59:38
DELL,5470,6th Gen,Core i7,16GB GB,512 GB SSD,Newegg,PC Laptops,https://www.newegg.com/dell-latitude-e5470-work-business/p/N82E16834343610,1790.0,1690.0,5%,2025-01-31 00:59:38
