Brand,Model,Storage,category,marketplace,link,priceInitial,pricePromo,promotionType,collectionTime
Lenovo,Tab Plus,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005Y2,3199.9,2399.9,25%,2025-01-31 00:57:47
Lenovo,Tab M11,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005M9,3600.0,N/A,Aucune,2025-01-31 00:57:47
Samsung,Galaxy Tab S9,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00B10,4290.0,N/A,Aucune,2025-01-31 00:57:47
Samsung,Galaxy Tab A9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BF6,2470.0,N/A,Aucune,2025-01-31 00:57:47
Apple,Ipad 10,64GB,Tablette,Newegg,https://www.newegg.com/apple-mk2k3ll-a-9th-gen-ipad-silver/p/N82E16858752809,3999.9,2699.9,32%,2025-01-31 00:57:47
CHUWI,ipad Xpro,512GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-002A-000J6,2199.9,1059.9,51%,2025-01-31 00:57:47
Samsung,Galaxy Tab A9,64GB,Tablette,Newegg,https://www.newegg.com/p/1TS-0002-00611,1929.9,N/A,Aucune,2025-01-31 00:57:47
Samsung,Galaxy Tab S9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AZ4,4499.9,3499.9,22%,2025-01-31 00:57:47
Lenovo,Tab M8,32GB,Tablette,Newegg,https://www.newegg.com/lenovo-android-zabu0108us-tb-300fu-gray/p/0EJ-001J-005B0,1099.9,729.9,33%,2025-01-31 00:57:47
Lenovo,Tab M11,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005N0,1799.9,N/A,Aucune,2025-01-31 00:57:47
Apple,iPad 9th,64GB,Tablette,Newegg,https://www.newegg.com/apple-a2602-ipad-9th-gen-gray/p/24W-0002-010Z5,2199.9,N/A,Aucune,2025-01-31 00:57:47
Samsung,Galaxy Tab S9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AZ5,5999.9,4799.9,20%,2025-01-31 00:57:47
Apple,iPad Air 3rd,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01661,4990.0,1509.9,69%,2025-01-31 00:57:47
Samsung,Galaxy Tab S9,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AZ6,5799.9,N/A,Aucune,2025-01-31 00:57:47
SAMSUNG,Galaxy Tab S6,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BR8,2299.9,N/A,Aucune,2025-01-31 00:57:47
Apple,iPad 6th,32GB,Tablette,Newegg,https://www.newegg.com/p/N82E16858752783,1999.9,1249.9,37%,2025-01-31 00:57:47
Lenovo,Tab M9,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005B4,1290.0,1190.0,7%,2025-01-31 00:57:47
Apple,iPad 9th,64GB,Tablette,Newegg,https://www.newegg.com/apple-a2603-ipad-9th-gen-gray/p/24W-0002-01423,2499.9,N/A,Aucune,2025-01-31 00:57:47
Apple,iPad 6,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-017C7,14999.9,991.8,93%,2025-01-31 00:57:47
Apple,iPad 9th,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00RZ0,2799.9,N/A,Aucune,2025-01-31 00:57:47
Apple,iPad with,16GB,Tablette,Newegg,https://www.newegg.com/p/N82E16858753165,590.0,N/A,Aucune,2025-01-31 00:57:47
Apple,iPad Air 3rd,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01659,6290.0,1400.0,77%,2025-01-31 00:57:47
SAMSUNG,Galaxy Tab S9,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00B16,5790.0,N/A,Aucune,2025-01-31 00:57:47
Apple,iPad mini,64GB,Tablette,Newegg,https://www.newegg.com/apple-a2133-ipad-mini-wifi-space-gray/p/24W-0002-00KY3,2587.4,N/A,Aucune,2025-01-31 00:57:47
Lenovo,Tab M9,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005B4R,1499.9,919.9,38%,2025-01-31 00:58:01
Apple,iPad Air 3rd,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-015G2,4990.0,1664.9,66%,2025-01-31 00:58:01
Apple,iPad 9th,64GB,Tablette,Newegg,https://www.newegg.com/apple-a2602-ipad-9th-gen-gray/p/24W-0002-010Z9,2096.3,N/A,Aucune,2025-01-31 00:58:01
Apple,iPad 8th,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-017C6,3290.0,1302.7,60%,2025-01-31 00:58:01
SAMSUNG,Galaxy Tab A8,32GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-x200nzaaxar-galaxy-tab-a8-dark-gray/p/N82E16834132483,0.0,N/A,Aucune,2025-01-31 00:58:01
Samsung,Galaxy Tab A9,660GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BK5,2678.3,N/A,Aucune,2025-01-31 00:58:01
Apple,iPad Pro,512GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-017U4,7099.7,N/A,Aucune,2025-01-31 00:58:01
Samsung,Galaxy Tab S6,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-005K7,0.0,N/A,Aucune,2025-01-31 00:58:01
Apple,iPad 10,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-011W3,2409.9,N/A,Aucune,2025-01-31 00:58:01
Samsung,Galaxy Tab A,32GB,Tablette,Newegg,https://www.newegg.com/samsung-galaxy-tab/p/0EJ-000P-00AN9,650.0,N/A,Aucune,2025-01-31 00:58:01
