Brand,Model,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
XIAOMI,XIAOMI,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/smartphone-xiaomi-redmi-a3x-6-7-128go-4go-ram-5000mah-noir-xia1724063264963,1170.0,N/A,Aucune,2025-01-28 14:10:11
XIAOMI,XIAOMI,64GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/xiaomi-redmi-a3x-6-7-64-go-3-ram-5000mah-midnight-black-xia1722378703765,1399.0,1029.0,-26%,2025-01-28 14:10:11
Xiaomi,Xiaomi,3GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/xiaomi-redmi-a3x-3-go-64-go-blanc-moonlight-white-double-sim-xia1724063217581,1399.0,1029.0,-26%,2025-01-28 14:10:11
Samsung,xy,8GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-m53-8-go-256-gb-blue-5g-aaaaa68726,4749.0,3569.0,-24%,2025-01-28 14:10:11
SAMSUNG,Galaxy A14,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/samsung-galaxy-a14-4g-noir-128go-sam8806094843439,1890.0,N/A,Aucune,2025-01-28 14:10:22
Honor,X5,32GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x5-bleu-2-32go-aaaaa72982,1299.0,1199.0,-7%,2025-01-28 14:10:22
HONOR,X9a,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x9a-5g-silver-8-256go-aaaaa54369,4199.0,N/A,Aucune,2025-01-28 14:10:22
Honor,X5,32GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x5-orange-2-32go-aaaaa53917,1199.0,N/A,Aucune,2025-01-28 14:10:28
Vivo,Y35,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/vivo-y35-gold-8-128go-aaaaa68487,2799.0,2399.0,-14%,2025-01-28 14:10:28
HONOR,X9a,256GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x9a-5g-midnight-black-8-256go-aaaaa54368,4199.0,N/A,Aucune,2025-01-28 14:10:28
HONOR,X6,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x6-titanium-silver-4-128go-aaaaa33760,1499.0,1399.0,-6%,2025-01-28 14:10:28
HONOR,X6,4GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x6-4go-64go-argent-telephone-mediatek-helio-g25-6-5-pouces-tftlcd-camera-triple-50mp-bt5-1-jusqu-a-1-to-de-stockage-evolutif-hon6936520814282,1399.0,N/A,Aucune,2025-01-28 14:10:28
HONOR,X8,128GB,Marjane Mall,PC Portables,https://www.marjanemall.ma/honor-x8-silver-6-128go-aaaaa23152,2399.0,N/A,Aucune,2025-01-28 14:10:28
