Brand,Model,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime
Samsung,Galaxy TAB A7,32GB,Jumia,tablette,https://www.jumia.ma/samsung-galaxy-tab-a7-lite-android-32go-3go-gris-62787644.html,1799.0,1529.0,15%,2025-01-28 14:49:31
Apple,iPad 9ème,64GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-9eme-9.7-rom-64go-ram-4go-ipad-os17-gris-camera-frontale-2-camera-arriere-8-wifi-remis-a-neuf-65754075.html,3599.0,2799.0,22%,2025-01-28 14:49:31
Apple,iPad AIR 4,64GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air-4-9.7-rom-64go-ram-4go-ipad-os17-gris-camera-frontale-8-camera-arriere-12-wi-fi-remis-a-neuf-65453478.html,5999.0,4464.05,26%,2025-01-28 14:49:31
Apple,iPad Air2,32GB,Jumia,tablette,https://www.jumia.ma/apple-tabltte-ipad-air2-gris-wi-fi-rom-32go-ram-4go-remis-a-neuf-63509196.html,3299.0,1899.05,42%,2025-01-28 14:49:31
Apple,iPad Air1,16GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air1-9.7-rom-16-go-ram-2go-ipad-os15-gris-camera-frontale-2-camera-arriere-8-wi-fi-remis-a-neuf-64940068.html,3000.0,1499.0,50%,2025-01-28 14:49:31
Apple,iPad Air 2,32GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air-2-9.7-po-32-go-gris-wi-fi-remis-a-neuf-63466975.html,3000.0,2299.0,23%,2025-01-28 14:49:31
Apple,iPad Air 2,64GB,Jumia,tablette,https://www.jumia.ma/apple-ipad-air-2-9.7-po-64-go-gris-wi-fi-remis-a-neuf-39850943.html,3000.0,2299.0,23%,2025-01-28 14:49:31
Apple,iPad 8ème,32GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-8eme-9.7-rom-32go-ram-4go-ipad-os17-gris-camera-frontale-2-camera-arriere-8-wifi-remis-a-neuf-65754030.html,3199.0,2799.0,13%,2025-01-28 14:49:31
XIAOMI,REDMI PAD SE,64GB,Jumia,tablette,https://www.jumia.ma/xiaomi-redmi-pad-se-87-4g-464go-hyperos-android-u-mediatek-helio-g85-wi-fi-5-double-bande-double-haut-parleur-dolby-atmos-6650-mah-usb-2.0-charge-rapide-de-18w-graphite-grey-65948932.html,2142.0,1449.0,32%,2025-01-28 14:49:31
Apple,iPad 9EME,32GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-9eme-generation-9.7-rom-32go-ram-4go-ipad-os17-gris-wi-fi-remis-a-neuf-65947253.html,3599.0,1999.0,44%,2025-01-28 14:49:31
Samsung,Galaxy Tab S7,128GB,Jumia,tablette,https://www.jumia.ma/samsung-galaxy-tab-s7-plus-ecran-12.4-120hz-128-go-6-go-ram-bleu-wi-fi-remis-a-neuf-63111483.html,6199.0,5699.0,8%,2025-01-28 14:49:33
Apple,iPad 9EME,128GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-9eme-generation-9.7-rom-128go-ram-4go-ipad-os17-gris-wi-fi-remis-a-neuf-65947259.html,3699.0,2299.0,38%,2025-01-28 14:49:33
Apple,iPad Air1,16GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-air1-9.7-rom-16-go-ram-2go-ipad-os15-gris-camera-frontale-2-camera-arriere-8-wi-fi-remis-a-neuf-65948801.html,2799.0,1499.0,46%,2025-01-28 14:49:33
Apple,iPad 9ᵉ,3GB,Jumia,tablette,https://www.jumia.ma/apple-ipad-9-generation-a13-bionic-ecran-retina-10.2-3go64go-wifi-8mpx12mpx-ipados-15-argent-neuf-64867203.html,4100.0,3999.0,2%,2025-01-28 14:49:33
Apple,iPad PRO,256GB,Jumia,tablette,https://www.jumia.ma/apple-tablette-ipad-pro-m1-12.9-rom-256go-ram-8go-ipad-os18-gris-wi-fi-remis-a-neuf-65915138.html,9899.0,7999.0,19%,2025-01-28 14:49:33
Apple,iPad 5,32GB,Jumia,tablette,https://www.jumia.ma/apple-ipad-5-blanc-wi-fi-cellular-rom-32go-ram-4go-remis-a-neuf-64732575.html,3299.0,1804.05,45%,2025-01-28 14:49:33
Samsung,Galaxy Tab A9,128GB,Jumia,tablette,https://www.jumia.ma/samsung-tablette-galaxy-tab-a9-lte-4g-8gb-128go-mystic-silver-sm-x115nzsemwd-65143465.html,3532.0,2445.0,31%,2025-01-28 14:49:33
Apple,iPad Pro,1024GB,Jumia,tablette,https://www.jumia.ma/apple-ipad-pro-5g-1024-go-12.9-m1-16-go-wi-fi-6-ipados-14-argent-65794211.html,20000.0,N/A,Aucune,2025-01-28 14:49:33
